Name,Price,Rating,Processor,RAM,Storage,Operating_System,Other_Spec,URL,Description
Lenovo MSO'2024,38490.0,4.2,AMD Ryzen 5 5625U,16 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/lenovo-mso-2024-amd-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itm3680fb576eb7b?pid=COMH8AE39TGGESQH&lid=LSTCOMH8AE39TGGESQHGJWSR4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_8_180&otracker=search&fm=organic&iid=1ca87bc6-5966-485d-beaf-6a8b02e10f1a.COMH8AE39TGGESQH.SEARCH&ppt=None&ppn=None&ssid=cpn4ttezuo0000001746639306171&qH=c06ea84a1e3dc3c6,"AMD Ryzen 5 5625U, 16 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
Lenovo IdeaPad Slim 3,49000.0,4.3,Intel Core i5 12th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMH7XF95SGTY5E6&lid=LSTCOMH7XF95SGTY5E6VQBHQA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_8_183&otracker=search&fm=organic&iid=1ca87bc6-5966-485d-beaf-6a8b02e10f1a.COMH7XF95SGTY5E6.SEARCH&ppt=None&ppn=None&ssid=cpn4ttezuo0000001746639306171&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
DELL Latitude 3540,33490.0,3.9,Intel Core i3 12th Gen,16 GB,512 GB SSD,Windows 11 Pro,Unknown,https://www.flipkart.com/dell-latitude-3540-2024-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-pro-business-laptop/p/itm7f265faf0871e?pid=COMH5G7HHNGBDEDF&lid=LSTCOMH5G7HHNGBDEDFBDIFYU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_8_184&otracker=search&fm=organic&iid=1ca87bc6-5966-485d-beaf-6a8b02e10f1a.COMH5G7HHNGBDEDF.SEARCH&ppt=None&ppn=None&ssid=cpn4ttezuo0000001746639306171&qH=c06ea84a1e3dc3c6,"Intel Core i3 12th Gen, 16 GB, 512 GB SSD, Windows 11 Pro"
Acer Aspire Lite,42990.0,3.7,Intel Core i5 12th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/acer-aspire-lite-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGX8GMZJRP6QRK&lid=LSTCOMGX8GMZJRP6QRKPCMSJC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_8_185&otracker=search&fm=organic&iid=1ca87bc6-5966-485d-beaf-6a8b02e10f1a.COMGX8GMZJRP6QRK.SEARCH&ppt=None&ppn=None&ssid=cpn4ttezuo0000001746639306171&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
ASUS Vivobook 15,45690.0,4.3,Intel Core i5 13th Gen,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj524ws-thin-light-laptop/p/itm200184e4e0443?pid=COMGZDQJWEEWWJA6&lid=LSTCOMGZDQJWEEWWJA6CKTFPZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_8_186&otracker=search&fm=organic&iid=1ca87bc6-5966-485d-beaf-6a8b02e10f1a.COMGZDQJWEEWWJA6.SEARCH&ppt=None&ppn=None&ssid=cpn4ttezuo0000001746639306171&qH=c06ea84a1e3dc3c6,"Intel Core i5 13th Gen, 8 GB, 512 GB SSD, Windows 11 Home"
Acer Aspire 3 Backlit,33990.0,4.1,AMD Ryzen 5 7430U,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-5-hexa-core-7430u-8-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XVTZNMYGX&lid=LSTCOMH397XVTZNMYGXUXLNNE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_8_190&otracker=search&fm=organic&iid=1ca87bc6-5966-485d-beaf-6a8b02e10f1a.COMH397XVTZNMYGX.SEARCH&ppt=None&ppn=None&ssid=cpn4ttezuo0000001746639306171&qH=c06ea84a1e3dc3c6,"AMD Ryzen 5 7430U, 8 GB, 512 GB SSD, Windows 11 Home"
Lenovo V15,27880.0,4.2,AMD Ryzen 3 7320U,8 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/lenovo-v15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-g4-amn-1-thin-light-laptop/p/itmdcccd5f5d1865?pid=COMGPYKZAWY8UX6C&lid=LSTCOMGPYKZAWY8UX6CJCJMKB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_193&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMGPYKZAWY8UX6C.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"AMD Ryzen 3 7320U, 8 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
DELL Inspiron 3535,37999.0,4.2,AMD Ryzen 5 7520U,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/dell-inspiron-3535-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm672bf7685863c?pid=COMH8EPFGGZ9VRF6&lid=LSTCOMH8EPFGGZ9VRF6YO1ML3&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_194&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMH8EPFGGZ9VRF6.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"AMD Ryzen 5 7520U, 8 GB, 512 GB SSD, Windows 11 Home"
Lenovo IdeaPad Slim 5 AI PC,74990.0,4.2,Intel Core Ultra 5,16 GB,1 TB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-slim-5-ai-pc-intel-core-ultra-125h-16-gb-1-tb-ssd-windows-11-home-16imh9-thin-light-laptop/p/itm23294734162fe?pid=COMGXMY5NC8VXGHH&lid=LSTCOMGXMY5NC8VXGHHH44WP5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_195&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMGXMY5NC8VXGHH.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"Intel Core Ultra 5, 16 GB, 1 TB SSD, Windows 11 Home"
Acer Aspire 3,20490.0,4.0,Intel Celeron,8 GB,256 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-256-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZHA5YJHS3&lid=LSTCOMHFZYZHA5YJHS30OEKLM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_199&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMHFZYZHA5YJHS3.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"Intel Celeron, 8 GB, 256 GB SSD, Windows 11 Home, Thin and Light"
DELL Latitude 3540,32400.0,4.0,Intel Core i3 12th Gen,8 GB,512 GB SSD,Windows 11 Pro,Unknown,https://www.flipkart.com/dell-latitude-3540-2024-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-pro-business-laptop/p/itm7f265faf0871e?pid=COMH5G782C9SZAKT&lid=LSTCOMH5G782C9SZAKTBSDHHD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_200&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMH5G782C9SZAKT.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"Intel Core i3 12th Gen, 8 GB, 512 GB SSD, Windows 11 Pro"
Lenovo IdeaPad Slim 1,25790.0,4.1,Intel Celeron,8 GB,256 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-slim-1-intel-celeron-dual-core-n4020-8-gb-256-gb-ssd-windows-11-home-14igl7-thin-light-laptop/p/itm7ecd736658657?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYPG5AOZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_204&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMGDMXVJJB2HGMY.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"Intel Celeron, 8 GB, 256 GB SSD, Windows 11 Home"
Lenovo V14,42990.0,4.1,Intel Core i5 12th Gen,16 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/lenovo-v14-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-v-14-thin-light-laptop/p/itme87a00a2ff6c2?pid=COMH76FG3MCSNRDV&lid=LSTCOMH76FG3MCSNRDVIANFKE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_205&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMH76FG3MCSNRDV.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
Lenovo V15,43990.0,4.1,AMD Ryzen 7 7730U,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-v15-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-g4-business-laptop/p/itmdcccd5f5d1865?pid=COMGZXHQZQPQ2R8D&lid=LSTCOMGZXHQZQPQ2R8DXDUQV8&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_206&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMGZXHQZQPQ2R8D.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"AMD Ryzen 7 7730U, 16 GB, 512 GB SSD, Windows 11 Home"
MOTOROLA Motobook 60 Full Metal,73990.0,4.2,Unknown,16 GB,1 TB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/motorola-motobook-60-full-metal-intel-core-7-series-2-240h-16-gb-1-tb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itmd38998009f90e?pid=COMHAUZWMJNUBXVE&lid=LSTCOMHAUZWMJNUBXVEFCZ6QJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_210&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMHAUZWMJNUBXVE.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"16 GB, 1 TB SSD, Windows 11 Home"
ASUS Vivobook 15 with Office 2024 + M365 Basic*,37990.0,4.4,Intel Core i3 13th Gen,16 GB,Unknown,Unknown,Unknown,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj2324ws-thin-light-laptop/p/itmf40dd3e4553f6?pid=COMH9SJ95TXH5PYE&lid=LSTCOMH9SJ95TXH5PYEOHDDBT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_215&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMH9SJ95TXH5PYE.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"Intel Core i3 13th Gen, 16 GB"
DELL G15,71990.0,4.0,Intel Core i5 13th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/dell-g15-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-120-hz-5530-gaming-laptop/p/itmd1b02da743465?pid=COMH8EPFG25GDHDC&lid=LSTCOMH8EPFG25GDHDCJE052J&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_216&otracker=search&fm=organic&iid=e2e8b2fc-3cee-476b-966d-587fb65c3638.COMH8EPFG25GDHDC.SEARCH&ppt=None&ppn=None&ssid=bv21v2u31c0000001746639348375&qH=c06ea84a1e3dc3c6,"Intel Core i5 13th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
"DELL Inspiron 15 with Backlit Keyboard,",47990.0,4.2,Intel Core i5 12th Gen,8 GB,512 GB SSD,Unknown,Unknown,https://www.flipkart.com/dell-inspiron-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-new-laptop-thin-light/p/itm23d84e15561c4?pid=COMGJ75HN66KHZYB&lid=LSTCOMGJ75HN66KHZYBIR9NGN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_220&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMGJ75HN66KHZYB.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 8 GB, 512 GB SSD"
Lenovo,32350.0,4.0,Intel Core i3 12th Gen,16 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/lenovo-intel-core-i3-12th-gen-16-gb-512-gb-ssd-windows-11-home-v14-thin-light-laptop/p/itmc3562e2732a4c?pid=COMH6ACMHPWDN4V3&lid=LSTCOMH6ACMHPWDN4V32JZB21&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_224&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMH6ACMHPWDN4V3.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"Intel Core i3 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
"Acer Aspire Lite with Backlit Keyboard,",43990.0,4.2,Intel Core i5 12th Gen,16 GB,512 GB SSD,Unknown,Unknown,https://www.flipkart.com/acer-aspire-lite-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH28U48ANJF7HZ&lid=LSTCOMH28U48ANJF7HZXECDQL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_225&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMH28U48ANJF7HZ.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD"
ASUS Vivobook 15,46990.0,3.3,Intel Core i5 13th Gen,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj523ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMGZDQJUEZSYYZ3&lid=LSTCOMGZDQJUEZSYYZ3GYJMMT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_226&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMGZDQJUEZSYYZ3.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"Intel Core i5 13th Gen, 8 GB, 512 GB SSD, Windows 11 Home"
"ASUS Vivobook 16X for Creator with Office 2024 + M365 Basic,",68990.0,4.3,Intel Core i5 13th Gen,Unknown,Unknown,Unknown,Unknown,https://www.flipkart.com/asus-vivobook-16x-2025-creator-office-2024-m365-basic-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-k3605vc-rp413ws-gaming-laptop/p/itmec40249e8fe47?pid=COMH9499MNGSKSBV&lid=LSTCOMH9499MNGSKSBVA08LZK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_230&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMH9499MNGSKSBV.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,Intel Core i5 13th Gen
Lenovo Yoga Slim 7,87990.0,4.2,Intel Core Ultra 7,16 GB,1 TB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/lenovo-yoga-slim-7-intel-core-ultra-155h-16-gb-1-tb-ssd-windows-11-home-14imh9-thin-light-laptop/p/itm77304edff3814?pid=COMH3G969EWNAHYG&lid=LSTCOMH3G969EWNAHYGM4NHIP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_233&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMH3G969EWNAHYG.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"Intel Core Ultra 7, 16 GB, 1 TB SSD, Windows 11 Home, Thin and Light"
Lenovo IdeaPad Slim 1,34990.0,4.2,AMD Ryzen 5 7520U,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-15amn7-thin-light-laptop/p/itm7ecd736658657?pid=COMHYUNJGKSJGPGN&lid=LSTCOMHYUNJGKSJGPGNGZTGGT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_234&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMHYUNJGKSJGPGN.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"AMD Ryzen 5 7520U, 8 GB, 512 GB SSD, Windows 11 Home"
ASUS Vivobook 16 with Office 2024 + M365 Basic*,79990.0,4.2,Intel Core i9 13th Gen,16 GB,1 TB SSD,Unknown,Unknown,https://www.flipkart.com/asus-vivobook-16-2025-office-2024-m365-basic-intel-core-i9-13th-gen-13900h-16-gb-1-tb-ssd-windows-11-home-x1605va-mb9999ws-thin-light-laptop/p/itm46b7424d80e78?pid=COMH9SJ9ZXSZRQKG&lid=LSTCOMH9SJ9ZXSZRQKG4PQORI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_235&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMH9SJ9ZXSZRQKG.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"Intel Core i9 13th Gen, 16 GB, 1 TB SSD"
HP Pavilion,52990.0,3.3,AMD Ryzen 5 8540U,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/hp-pavilion-amd-ryzen-5-hexa-core-8540u-16-gb-512-gb-ssd-windows-11-home-16-ag0019au-thin-light-laptop/p/itmd14c7a58f1b78?pid=COMHAZY5ZQZQQDKZ&lid=LSTCOMHAZY5ZQZQQDKZ7RBKNI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_239&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMHAZY5ZQZQQDKZ.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"AMD Ryzen 5 8540U, 16 GB, 512 GB SSD, Windows 11 Home"
HP,33999.0,4.3,AMD Ryzen 3 7320U,8 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/hp-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-14-em0025au-thin-light-laptop/p/itmc42cc8d7eb695?pid=COMGR953WYURKTFC&lid=LSTCOMGR953WYURKTFC5DK9MN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_10_240&otracker=search&fm=organic&iid=370ff27e-6575-44e1-ae40-0d203ffa4bd2.COMGR953WYURKTFC.SEARCH&ppt=None&ppn=None&ssid=mgn57lmdog0000001746639391086&qH=c06ea84a1e3dc3c6,"AMD Ryzen 3 7320U, 8 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
HP Pro G10,79800.0,4.4,Intel Core i7 13th Gen,32 GB,1 TB SSD,Windows 11 Pro,Unknown,https://www.flipkart.com/hp-pro-g10-intel-core-i7-13th-gen-1335u-turbo-boost-technoly-32-gb-1-tb-ssd-windows-11-pro-1-gb-graphics-240-notebook/p/itm0c132283824c1?pid=COMH62F59VXDHHUR&lid=LSTCOMH62F59VXDHHUR8IMJZP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_245&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMH62F59VXDHHUR.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"Intel Core i7 13th Gen, 32 GB, 1 TB SSD, Windows 11 Pro"
Infinix X3 Slim,42990.0,4.2,Intel Core i7 12th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/infinix-x3-slim-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-xl422-thin-light-laptop/p/itm1828edaca2b67?pid=COMGRSWXNS9BKMHH&lid=LSTCOMGRSWXNS9BKMHH9SNAHF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_246&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMGRSWXNS9BKMHH.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"Intel Core i7 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
Lenovo IdeaPad 1,47990.0,4.0,AMD Ryzen 7 5700U,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itm7ecd736658657?pid=COMH3G96HYWQH8RT&lid=LSTCOMH3G96HYWQH8RTC57SWT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_249&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMH3G96HYWQH8RT.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"AMD Ryzen 7 5700U, 16 GB, 512 GB SSD, Windows 11 Home"
ASUS Vivobook Go 14 with Office 2024 + M365 Basic*,40890.0,4.2,AMD Ryzen 5 7520U,16 GB,Unknown,Unknown,Unknown,https://www.flipkart.com/asus-vivobook-go-14-2025-office-2024-m365-basic-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1404fa-nk5542ws-thin-light-laptop/p/itmceb0a735dc9b1?pid=COMH9SJ93XBRGZJ7&lid=LSTCOMH9SJ93XBRGZJ77P3OGD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_250&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMH9SJ93XBRGZJ7.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"AMD Ryzen 5 7520U, 16 GB"
Lenovo IdeaPad Slim 1,28490.0,4.1,AMD Ryzen 3 7320U,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15amn7-thin-light-laptop/p/itm76f0e5d975817?pid=COMGNY3BTHRQ8MJG&lid=LSTCOMGNY3BTHRQ8MJG2YIZH3&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_254&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMGNY3BTHRQ8MJG.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"AMD Ryzen 3 7320U, 8 GB, 512 GB SSD, Windows 11 Home"
MSI Sword 16 HX,104990.0,4.6,Intel Core i7 14th Gen,16 GB,1 TB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/msi-sword-16-hx-intel-core-i7-14th-gen-14700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-144-hz-b14vekg-210in-gaming-laptop/p/itmb985a281dcc19?pid=COMGYSGNZVWFAHGH&lid=LSTCOMGYSGNZVWFAHGHDA1BCE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_256&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMGYSGNZVWFAHGH.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"Intel Core i7 14th Gen, 16 GB, 1 TB SSD, Windows 11 Home"
DELL G15,119490.0,4.2,Intel Core i7 13th Gen,16 GB,1 TB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/dell-g15-intel-core-i7-13th-gen-13650hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-165-hz-5530-gaming-laptop/p/itmd1b02da743465?pid=COMH8EPFWRZRB4AA&lid=LSTCOMH8EPFWRZRB4AAMWAQFW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_259&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMH8EPFWRZRB4AA.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"Intel Core i7 13th Gen, 16 GB, 1 TB SSD, Windows 11 Home"
Lenovo IdeaPad Flex 5,53990.0,4.3,Intel Core i3 13th Gen,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/lenovo-ideapad-flex-5-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-14iru8-2-1-laptop/p/itmd4a374447028a?pid=COMGSC4EUJHDCX7Y&lid=LSTCOMGSC4EUJHDCX7YFIZT1S&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_11_263&otracker=search&fm=organic&iid=c3f38e73-f7fc-4ff9-8933-bfe84510f620.COMGSC4EUJHDCX7Y.SEARCH&ppt=None&ppn=None&ssid=df6pwyagxs0000001746639433601&qH=c06ea84a1e3dc3c6,"Intel Core i3 13th Gen, 8 GB, 512 GB SSD, Windows 11 Home"
